customer_id,signup_date,last_login_date,region,sector,plan_type,contract_type,acquisition_channel,monthly_fee_gbp,tenure_months,usage_minutes_30d,active_days_30d,support_tickets_90d,invoices_late_6m,satisfaction_score,renewal_month,account_notes,cancellation_reason,account_closed_date,retention_offer_after_churn,churned
CUST-1149,2023-09-11,2024-12-27,North West,Professional Services,Standard,Annual,Self-serve,110.61,15,164.8,13,1,0,8.7,7,Customer happy with product but needs integration advice.,,,,0
CUST-1150,2023-02-28,2024-12-03,London,Retail,Basic,Annual,Self-serve,45.15,22,117.5,6,0,0,9.3,3,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1151,2023-02-18,2024-12-22,Midlands,Public Sector,Basic,Annual,Partner,49.06,22,207.7,5,1,1,6.8,10,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1152,2023-07-06,2024-12-14,South West,Professional Services,Basic,Monthly,Sales-led,51.34,17,161.3,7,0,0,8.1,6,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1153,2021-06-28,2024-12-31,London,Technology,Enterprise,Monthly,Sales-led,353.34,42,236.1,0,5,1,5.5,10,Support issue around onboarding and admin setup.,,,,0
CUST-1154,2021-04-15,2024-12-10,Scotland,Healthcare,Standard,Monthly,Sales-led,82.72,44,253.2,6,3,1,5.7,3,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1155,2023-09-12,2024-12-28,London,Manufacturing,Premium,Monthly,Renewal upgrade,160.49,15,116.3,5,2,0,9.0,9,Support issue around onboarding and admin setup.,,,,0
CUST-1156,2022-04-14,2024-12-30,Wales,Technology,Premium,Monthly,Partner,168.35,32,135.9,9,0,0,7.2,12,Customer happy with product but needs integration advice.,,,,0
CUST-1157,2021-03-11,2024-12-27,South East,Healthcare,Basic,Monthly,Self-serve,37.42,45,194.9,0,3,1,3.6,11,Manager requested renewal details and training resources.,support,2025-02-09,none,1
CUST-1158,2021-02-10,2024-12-26,Wales,Retail,Basic,Annual,Sales-led,41.27,46,194.6,6,2,1,10.0,9,Multiple support contacts; wants faster response time.,,,,0
CUST-1159,2023-07-04,2024-12-26,Midlands,Manufacturing,Premium,Monthly,Sales-led,186.62,17,57.1,6,3,1,5.4,12,Support issue around onboarding and admin setup.,support,2025-01-06,discount,1
CUST-1160,2020-03-18,2024-12-30,Midlands,Education,Basic,Annual,Self-serve,46.97,57,168.6,1,2,0,7.3,9,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1161,2020-03-31,2024-12-30,London,Healthcare,Enterprise,Monthly,Self-serve,351.36,57,660.2,27,1,0,10.0,10,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1162,2022-12-13,2024-12-25,South West,Manufacturing,Basic,Monthly,Renewal upgrade,34.31,24,211.0,9,1,3,6.8,6,Customer happy with product but needs integration advice.,competitor,2025-03-12,none,1
CUST-1163,2020-01-02,2024-12-30,South East,Technology,Premium,Monthly,Partner,173.46,59,166.4,14,3,0,7.2,11,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1164,2020-09-06,2024-12-16,London,Healthcare,Premium,Monthly,Self-serve,186.05,51,142.6,5,5,0,5.0,7,Manager requested renewal details and training resources.,,,,0
CUST-1165,2023-12-17,2024-12-18,Scotland,Retail,Basic,Monthly,Partner,56.14,12,172.2,6,0,1,5.4,5,Customer mentioned price sensitivity and asked about lower plan options.,price,2025-03-09,success_call,1
CUST-1166,2021-09-13,2024-12-22,South East,Healthcare,Basic,Annual,Renewal upgrade,40.31,39,293.5,15,1,0,8.2,4,Support issue around onboarding and admin setup.,,,,0
CUST-1167,2022-11-28,2024-12-27,Midlands,Healthcare,Enterprise,Monthly,Self-serve,350.94,25,88.3,0,5,1,6.8,2,Manager requested renewal details and training resources.,business_closed,2025-03-20,none,1
CUST-1168,2021-12-12,2024-12-31,Midlands,Professional Services,Basic,Monthly,Self-serve,75.39,36,165.8,6,0,0,8.6,3,Support issue around onboarding and admin setup.,,,,0
CUST-1169,2020-05-12,2024-12-29,South East,Professional Services,Standard,Annual,Renewal upgrade,98.79,55,185.0,6,0,0,7.5,10,Manager requested renewal details and training resources.,,,,0
CUST-1170,2020-09-26,2024-12-31,South West,Manufacturing,Standard,Monthly,Sales-led,90.68,51,210.9,8,3,0,7.6,10,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1171,2023-01-16,2024-12-28,South East,Retail,Basic,Annual,Renewal upgrade,46.91,23,71.2,6,1,0,4.8,12,Customer happy with product but needs integration advice.,,,,0
CUST-1172,2020-05-18,2024-12-15,North West,Technology,Premium,Monthly,Sales-led,180.11,55,388.6,18,2,0,9.2,7,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1173,2022-05-18,2024-12-30,South East,Retail,Premium,Annual,Self-serve,177.19,31,510.8,17,4,0,8.8,9,Manager requested renewal details and training resources.,,,,0
CUST-1174,2021-05-23,2024-12-09,South West,Professional Services,Standard,Monthly,Partner,98.62,43,268.4,11,3,2,10.0,9,Customer mentioned price sensitivity and asked about lower plan options.,low_usage,2025-01-24,success_call,1
CUST-1175,2021-06-24,2024-12-27,London,Public Sector,Premium,Monthly,Self-serve,161.68,42,485.6,25,2,0,9.0,9,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1176,2023-10-22,2024-12-31,London,Technology,Basic,Annual,Self-serve,37.45,14,135.1,2,1,0,6.4,3,Customer happy with product but needs integration advice.,,,,0
CUST-1177,2022-06-03,2024-12-31,North West,Retail,Basic,Annual,Self-serve,47.21,30,189.7,8,2,1,7.3,3,Multiple support contacts; wants faster response time.,,,,0
CUST-1178,2022-06-17,2024-12-24,South West,Retail,Standard,Monthly,Sales-led,97.02,30,270.5,10,3,2,6.6,5,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1179,2021-05-26,2024-12-24,South West,Retail,Enterprise,Annual,Sales-led,342.21,43,361.3,14,3,0,8.8,8,Manager requested renewal details and training resources.,,,,0
CUST-1180,2021-07-10,2024-12-27,Midlands,Education,Basic,Monthly,Sales-led,46.88,41,124.7,0,4,1,6.7,10,Manager requested renewal details and training resources.,price,2025-01-30,none,1
CUST-1181,2022-09-28,2024-12-31,South West,Healthcare,Basic,Monthly,Self-serve,49.73,27,131.9,11,2,2,4.9,3,,business_closed,2025-02-23,success_call,1
CUST-1182,2020-02-26,2024-12-22,South West,Retail,Standard,Monthly,Self-serve,109.67,58,366.3,12,0,2,5.8,6,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1183,2020-12-12,2024-12-27,North West,Professional Services,Premium,Annual,Sales-led,177.81,48,251.8,14,1,0,8.7,10,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1184,2022-05-26,2024-12-30,South East,Education,Basic,Monthly,Renewal upgrade,53.79,31,246.3,7,3,0,9.8,8,Manager requested renewal details and training resources.,,,,0
CUST-1185,2022-06-29,2024-12-30,Midlands,Technology,Standard,Annual,Self-serve,92.5,30,213.0,6,4,0,7.5,11,Manager requested renewal details and training resources.,support,2025-01-29,success_call,1
CUST-1186,2020-05-14,2024-12-28,Wales,Manufacturing,Premium,Monthly,Self-serve,185.87,55,376.5,20,0,0,10.0,12,Support issue around onboarding and admin setup.,,,,0
CUST-1187,2023-02-24,2024-12-30,South East,Education,Standard,Annual,Self-serve,103.51,22,231.2,13,2,1,,7,Support issue around onboarding and admin setup.,business_closed,2025-03-27,success_call,1
CUST-1188,2022-03-03,2024-12-18,London,Professional Services,Basic,Annual,Sales-led,59.39,33,225.1,10,2,0,8.3,11,Multiple support contacts; wants faster response time.,,,,0
CUST-1189,2020-12-13,2024-12-24,Midlands,Retail,Basic,Monthly,Partner,57.56,48,99.4,7,4,1,,10,Invoice query raised; finance contact requested clarification.,low_usage,2025-02-05,discount,1
CUST-1190,2023-01-02,2024-12-19,South East,Retail,Standard,Monthly,Self-serve,106.06,23,218.2,8,1,0,8.4,8,Customer happy with product but needs integration advice.,,,,0
CUST-1191,2023-12-17,2024-12-20,South West,Public Sector,Standard,Monthly,Sales-led,97.82,12,133.7,5,5,1,8.2,6,Manager requested renewal details and training resources.,business_closed,2025-03-25,none,1
CUST-1192,2021-09-10,2024-12-08,South East,Technology,Premium,Annual,Renewal upgrade,181.94,39,204.4,6,0,0,9.1,9,Customer happy with product but needs integration advice.,,,,0
CUST-1193,2021-02-17,2024-12-28,London,Technology,Standard,Monthly,Partner,111.76,46,160.2,10,0,0,9.3,2,Support issue around onboarding and admin setup.,,,,0
CUST-1194,2021-03-13,2024-12-28,Northern Ireland,Technology,Premium,Annual,Partner,171.18,45,232.1,7,2,0,7.2,3,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1195,2022-05-15,2024-12-26,London,Technology,Enterprise,Monthly,Renewal upgrade,341.46,31,416.6,23,2,0,8.4,6,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1196,2020-03-10,2024-12-29,London,Technology,Standard,Annual,Renewal upgrade,101.18,57,174.0,6,2,0,7.5,2,,business_closed,2025-03-24,none,1
CUST-1197,2021-12-06,2024-12-25,Scotland,Professional Services,Standard,Monthly,Sales-led,103.98,36,206.8,8,1,0,8.0,11,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1198,2020-02-06,2024-12-22,Northern Ireland,Professional Services,Enterprise,Monthly,Self-serve,339.11,58,442.6,21,1,0,10.0,12,Customer happy with product but needs integration advice.,,,,0
CUST-1199,2020-02-26,2024-12-27,London,Retail,Basic,Annual,Self-serve,48.1,58,222.7,9,2,1,4.0,11,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1200,2021-09-19,2024-12-17,South East,Education,Premium,Monthly,Sales-led,177.87,39,76.2,2,1,2,6.9,2,Customer mentioned price sensitivity and asked about lower plan options.,competitor,2025-03-11,success_call,1
CUST-1201,2022-12-24,2024-12-28,Midlands,Professional Services,Premium,Annual,Sales-led,152.42,24,107.4,4,2,0,7.3,9,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1202,2023-07-13,2024-12-31,South West,Public Sector,Basic,Monthly,Sales-led,46.36,17,175.0,11,3,0,5.4,2,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1203,2020-05-07,2024-12-08,North West,Manufacturing,Standard,Monthly,Self-serve,97.11,55,146.2,3,1,2,8.1,3,Manager requested renewal details and training resources.,,,,0
CUST-1204,2020-12-22,2024-12-16,London,Education,Basic,Annual,Partner,47.08,48,64.3,2,0,0,6.7,5,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1205,2021-09-07,2024-12-24,London,Professional Services,Basic,Annual,Partner,65.99,39,122.0,5,0,0,7.5,6,Customer happy with product but needs integration advice.,,,,0
CUST-1206,2022-04-18,2024-12-30,South East,Retail,Standard,Annual,Sales-led,84.41,32,275.3,14,3,0,10.0,2,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1207,2023-12-12,2024-12-29,London,Professional Services,Standard,Monthly,Sales-led,89.1,12,159.3,6,3,1,8.6,11,Support issue around onboarding and admin setup.,,,,0
CUST-1208,2022-09-26,2024-12-20,Wales,Public Sector,Premium,Monthly,Self-serve,147.65,27,226.1,16,4,1,7.9,12,Multiple support contacts; wants faster response time.,price,2025-02-25,none,1
CUST-1209,2022-02-25,2024-11-24,London,Education,Enterprise,Monthly,Self-serve,343.23,34,225.3,8,3,1,7.9,1,Customer happy with product but needs integration advice.,,,,0
CUST-1210,2020-03-29,2024-12-21,North West,Public Sector,Premium,Annual,Renewal upgrade,174.25,57,173.1,6,5,1,6.3,6,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1211,2020-04-27,2024-12-18,Wales,Retail,Basic,Monthly,Renewal upgrade,42.88,56,162.0,6,1,1,10.0,4,,,,,0
CUST-1212,2020-08-11,2024-12-29,Scotland,Healthcare,Basic,Monthly,Renewal upgrade,62.29,52,52.0,0,2,1,8.1,9,Low usage noted in recent month; customer did not attend webinar.,low_usage,2025-03-19,success_call,1
CUST-1213,2022-08-22,2024-12-19,London,Healthcare,Basic,Monthly,Renewal upgrade,59.33,28,90.8,0,0,1,6.4,11,Customer happy with product but needs integration advice.,,,,0
CUST-1214,2021-04-28,2024-12-28,Midlands,Public Sector,Basic,Monthly,Renewal upgrade,49.93,44,,6,1,2,5.3,12,Multiple support contacts; wants faster response time.,competitor,2025-03-24,none,1
CUST-1215,2020-12-17,2024-12-14,Midlands,Public Sector,Enterprise,Monthly,Self-serve,344.55,48,111.0,9,4,1,7.4,7,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1216,2022-09-05,2024-12-22,Midlands,Retail,Standard,Monthly,Sales-led,111.31,27,191.5,8,2,0,7.7,6,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1217,2023-04-05,2024-12-27,London,Technology,Basic,Annual,Sales-led,48.76,20,132.5,3,1,0,5.6,9,Customer happy with product but needs integration advice.,,,,0
CUST-1218,2021-10-02,2024-12-23,London,Professional Services,Premium,Annual,Self-serve,169.18,38,193.0,13,5,0,7.7,11,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1219,2023-07-11,2024-12-28,South West,Technology,Standard,Monthly,Sales-led,78.41,17,294.3,18,5,1,6.7,3,Support issue around onboarding and admin setup.,,,,0
CUST-1220,2022-12-07,2024-12-30,North West,Professional Services,Basic,Annual,Sales-led,43.7,24,280.6,16,4,1,8.1,7,Multiple support contacts; wants faster response time.,,,,0
CUST-1221,2022-11-11,2024-12-14,South East,Retail,Basic,Annual,Renewal upgrade,58.06,25,91.2,0,3,0,7.8,6,Invoice query raised; finance contact requested clarification.,price,2025-03-19,success_call,1
CUST-1222,2023-06-20,2024-12-23,North West,Public Sector,Standard,Monthly,Sales-led,126.32,18,175.1,5,3,0,6.5,11,,support,2025-03-30,none,1
CUST-1223,2020-09-25,2024-12-29,Wales,Professional Services,Premium,Monthly,Renewal upgrade,179.74,51,66.8,10,4,0,7.7,8,Support issue around onboarding and admin setup.,,,,0
CUST-1224,2023-01-12,2024-12-30,South West,Healthcare,Basic,Monthly,Partner,39.82,23,214.5,10,1,0,7.4,11,Customer happy with product but needs integration advice.,,,,0
CUST-1225,2023-10-30,2024-12-24,South East,Healthcare,Enterprise,Monthly,Self-serve,334.78,14,251.6,9,2,0,7.4,1,Customer happy with product but needs integration advice.,,,,0
CUST-1226,2023-12-19,2024-12-31,South West,Retail,Premium,Annual,Partner,185.62,12,105.0,7,2,0,6.6,1,Healthy adoption in team; users asked for reporting improvements.,support,2025-01-30,discount,1
CUST-1227,2022-04-23,2024-12-29,London,Manufacturing,Premium,Annual,Sales-led,157.82,32,165.5,11,5,0,8.6,7,Multiple support contacts; wants faster response time.,,,,0
CUST-1228,2023-01-06,2024-12-28,Scotland,Public Sector,Basic,Monthly,Self-serve,55.6,23,74.8,1,0,1,7.0,2,Multiple support contacts; wants faster response time.,competitor,2025-02-17,none,1
CUST-1229,2023-07-21,2024-12-17,Wales,Technology,Basic,Annual,Sales-led,58.81,17,104.5,5,3,0,9.2,4,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1230,2023-05-29,2024-12-28,London,Retail,Premium,Monthly,Renewal upgrade,184.24,19,70.9,7,0,0,10.0,1,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1231,2023-08-03,2024-12-16,London,Education,Standard,Annual,Sales-led,96.36,16,421.8,12,4,0,7.1,2,Manager requested renewal details and training resources.,,,,0
CUST-1232,2023-04-30,2024-12-15,North West,Retail,Standard,Annual,Sales-led,105.78,20,124.2,5,0,0,3.6,12,Customer happy with product but needs integration advice.,,,,0
CUST-1233,2021-07-10,2024-12-08,South West,Retail,Premium,Monthly,Partner,181.05,41,220.0,4,2,1,9.1,5,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1234,2022-12-02,2024-12-27,Scotland,Professional Services,Basic,Monthly,Self-serve,39.66,24,177.5,3,1,1,7.1,10,Healthy adoption in team; users asked for reporting improvements.,price,2025-01-14,none,1
CUST-1235,2021-08-22,2024-12-30,South West,Technology,Premium,Annual,Self-serve,201.2,40,430.6,15,1,0,7.7,2,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1236,2023-03-16,2024-12-27,Midlands,Technology,Enterprise,Annual,Self-serve,344.78,21,304.4,14,4,0,6.8,11,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1237,2023-03-28,2024-12-24,North West,Public Sector,Premium,Monthly,Sales-led,188.31,21,190.4,6,5,1,6.0,10,Invoice query raised; finance contact requested clarification.,competitor,2025-02-01,success_call,1
CUST-1238,2023-09-26,2024-12-23,Midlands,Education,Standard,Monthly,Partner,69.98,15,199.0,5,3,1,9.1,9,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1239,2022-05-08,2024-12-30,London,Education,Premium,Monthly,Sales-led,194.32,31,120.4,5,2,1,7.4,3,Support issue around onboarding and admin setup.,support,2025-01-14,none,1
CUST-1240,2021-11-24,2024-12-27,London,Education,Standard,Annual,Sales-led,116.63,37,126.9,0,3,0,9.2,3,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1241,2020-08-29,2024-12-29,Midlands,Education,Premium,Annual,Sales-led,179.36,52,217.8,10,6,0,7.6,7,Support issue around onboarding and admin setup.,,,,0
CUST-1242,2022-07-20,2024-12-24,Midlands,Healthcare,Premium,Annual,Sales-led,185.71,29,64.1,7,1,0,7.0,12,Low usage noted in recent month; customer did not attend webinar.,low_usage,2025-01-15,discount,1
CUST-1243,2022-04-06,2024-12-28,South East,Professional Services,Premium,Annual,Sales-led,185.7,32,175.1,7,3,0,6.9,2,Support issue around onboarding and admin setup.,,,,0
CUST-1244,2022-01-21,2024-12-29,Scotland,Professional Services,Standard,Annual,Self-serve,91.29,35,170.9,6,1,0,8.8,1,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1245,2022-09-14,2024-12-25,Scotland,Technology,Basic,Annual,Sales-led,55.57,27,394.2,17,1,0,10.0,7,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1246,2023-05-27,2024-12-28,Northern Ireland,Education,Basic,Monthly,Sales-led,39.3,19,258.1,2,1,3,8.7,7,Customer happy with product but needs integration advice.,,,,0
CUST-1247,2020-08-05,2024-12-31,Scotland,Technology,Standard,Annual,Self-serve,91.69,52,273.5,13,3,0,7.5,11,Manager requested renewal details and training resources.,,,,0
CUST-1248,2021-09-21,2024-12-18,North West,Professional Services,Standard,Monthly,Sales-led,112.52,39,289.5,24,1,1,8.3,7,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1249,2022-11-20,2024-12-30,South East,Education,Standard,Monthly,Partner,110.7,25,109.0,4,3,1,7.7,1,Customer happy with product but needs integration advice.,,,,0
CUST-1250,2023-04-11,2024-12-31,North West,Retail,Standard,Annual,Renewal upgrade,90.52,20,233.6,9,1,1,7.3,5,Manager requested renewal details and training resources.,,,,0
CUST-1251,2023-02-10,2024-12-26,Wales,Retail,Premium,Annual,Self-serve,170.2,22,361.9,17,3,0,6.5,6,Low usage noted in recent month; customer did not attend webinar.,competitor,2025-03-21,none,1
CUST-1252,2023-03-13,2024-12-29,Northern Ireland,Professional Services,Enterprise,Annual,Renewal upgrade,341.25,21,171.3,13,3,0,6.2,9,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1253,2023-06-02,2024-12-31,North West,Professional Services,Basic,Monthly,Sales-led,57.79,18,60.6,6,0,0,7.4,8,Invoice query raised; finance contact requested clarification.,business_closed,2025-02-20,success_call,1
CUST-1254,2023-11-05,2024-12-28,South East,Technology,Premium,Annual,Sales-led,167.0,13,297.9,3,4,0,8.7,1,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1255,2022-06-06,2024-12-28,South East,Retail,Premium,Monthly,Partner,183.28,30,99.3,6,1,1,9.2,11,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1256,2020-12-29,2024-11-30,Midlands,Manufacturing,Standard,Monthly,Partner,107.96,48,247.2,20,3,1,5.4,8,Invoice query raised; finance contact requested clarification.,low_usage,2025-01-10,none,1
CUST-1257,2022-04-02,2024-12-14,Midlands,Healthcare,Basic,Monthly,Partner,47.94,32,240.5,12,1,1,7.0,11,Multiple support contacts; wants faster response time.,,,,0
CUST-1258,2022-11-02,2024-12-23,London,Healthcare,Premium,Annual,Sales-led,191.12,25,148.6,1,1,0,7.3,9,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1259,2020-05-27,2024-12-25,London,Education,Enterprise,Monthly,Partner,345.35,55,157.3,7,2,1,8.5,5,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1260,2023-01-10,2024-12-16,Scotland,Retail,Premium,Annual,Self-serve,176.43,23,420.7,12,3,0,7.6,2,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1261,2022-03-05,2024-12-19,London,Technology,Enterprise,Monthly,Sales-led,337.27,33,,15,1,1,7.3,12,Manager requested renewal details and training resources.,,,,0
CUST-1262,2023-09-28,2024-12-27,Midlands,Public Sector,Enterprise,Monthly,Sales-led,361.21,15,398.4,12,7,2,4.5,11,Multiple support contacts; wants faster response time.,,,,0
CUST-1263,2020-11-05,2024-12-15,South East,Public Sector,Standard,Annual,Renewal upgrade,89.8,49,193.0,8,3,0,,4,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1264,2023-08-17,2024-12-22,London,Healthcare,Standard,Monthly,Sales-led,103.2,16,173.4,4,4,0,7.0,1,Customer happy with product but needs integration advice.,price,2025-01-15,success_call,1
CUST-1265,2021-10-16,2024-12-02,South West,Professional Services,Standard,Annual,Partner,98.14,38,223.1,7,0,0,,7,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1266,2022-04-17,2024-12-24,London,Technology,Enterprise,Annual,Self-serve,336.37,32,637.8,30,4,0,8.7,8,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1267,2022-08-21,2024-12-16,South East,Healthcare,Basic,Monthly,Partner,41.69,28,212.8,9,1,0,9.8,7,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1268,2022-04-25,2024-12-03,London,Professional Services,Standard,Annual,Partner,115.59,32,149.5,4,0,0,6.6,9,Support issue around onboarding and admin setup.,,,,0
CUST-1269,2023-08-12,2024-12-10,London,Healthcare,Premium,Annual,Renewal upgrade,181.42,16,278.6,7,4,0,6.4,6,Customer happy with product but needs integration advice.,,,,0
CUST-1270,2020-09-01,2024-12-17,London,Public Sector,Standard,Annual,Sales-led,86.89,51,186.0,0,0,0,10.0,9,Invoice query raised; finance contact requested clarification.,,,,0
CUST-1271,2022-12-01,2024-12-19,London,Manufacturing,Premium,Annual,Sales-led,182.66,25,193.0,3,0,0,8.4,7,Customer happy with product but needs integration advice.,,,,0
CUST-1272,2023-11-24,2024-12-23,London,Public Sector,Standard,Annual,Self-serve,97.25,13,282.2,12,3,1,,1,Manager requested renewal details and training resources.,,,,0
CUST-1273,2020-11-17,2024-12-23,London,Public Sector,Enterprise,Annual,Self-serve,390.45,49,342.6,18,4,1,8.1,8,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1274,2021-01-07,2024-12-30,Scotland,Retail,Premium,Monthly,Sales-led,182.42,47,129.2,3,2,0,7.5,7,Manager requested renewal details and training resources.,,,,0
CUST-1275,2021-11-24,2024-12-25,Wales,Technology,Standard,Annual,Sales-led,94.43,37,223.3,15,4,0,6.9,4,Customer happy with product but needs integration advice.,,,,0
CUST-1276,2022-11-24,2024-12-26,North West,Healthcare,Premium,Annual,Sales-led,196.04,25,189.8,5,2,1,8.7,5,Manager requested renewal details and training resources.,,,,0
CUST-1277,2023-11-01,2024-12-26,South East,Manufacturing,Standard,Annual,Sales-led,76.91,13,273.3,10,3,1,9.2,3,Manager requested renewal details and training resources.,,,,0
CUST-1278,2023-03-07,2024-12-31,North West,Professional Services,Standard,Annual,Sales-led,100.13,21,161.1,2,2,0,9.3,7,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1279,2023-03-05,2024-12-28,Northern Ireland,Technology,Standard,Monthly,Renewal upgrade,122.93,21,173.9,11,2,0,5.9,3,Manager requested renewal details and training resources.,competitor,2025-03-12,success_call,1
CUST-1280,2021-10-06,2024-12-21,Northern Ireland,Retail,Premium,Annual,Sales-led,177.61,38,195.8,16,1,0,10.0,2,Customer happy with product but needs integration advice.,,,,0
CUST-1281,2022-07-31,2024-12-27,London,Professional Services,Basic,Annual,Renewal upgrade,28.2,29,58.9,0,2,0,6.7,1,Invoice query raised; finance contact requested clarification.,business_closed,2025-01-02,discount,1
CUST-1282,2020-11-04,2024-12-24,London,Healthcare,Basic,Monthly,Renewal upgrade,44.25,49,298.5,11,1,1,7.0,8,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1283,2021-11-07,2024-12-29,South East,Professional Services,Premium,Monthly,Sales-led,196.45,37,220.6,14,1,1,7.5,2,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1284,2020-10-02,2024-12-29,South East,Professional Services,Standard,Annual,Partner,103.51,50,468.8,13,2,0,10.0,6,Low usage noted in recent month; customer did not attend webinar.,,,,0
CUST-1285,2020-02-09,2024-12-31,Scotland,Manufacturing,Standard,Monthly,Self-serve,88.93,58,196.3,10,4,0,8.1,1,Customer happy with product but needs integration advice.,,,,0
CUST-1286,2023-06-04,2024-12-21,North West,Healthcare,Basic,Annual,Partner,40.78,18,230.7,14,2,1,7.2,4,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1287,2023-03-20,2024-12-31,London,Technology,Standard,Monthly,Sales-led,92.28,21,133.8,6,2,1,8.4,4,Support issue around onboarding and admin setup.,,,,0
CUST-1288,2022-01-15,2024-12-29,South East,Retail,Premium,Monthly,Sales-led,183.33,35,156.0,8,2,0,7.8,6,Customer mentioned price sensitivity and asked about lower plan options.,competitor,2025-03-26,success_call,1
CUST-1289,2020-01-22,2024-12-30,Scotland,Public Sector,Basic,Annual,Sales-led,65.06,59,161.8,14,1,0,7.0,2,Customer mentioned price sensitivity and asked about lower plan options.,,,,0
CUST-1290,2020-05-11,2024-12-26,London,Healthcare,Standard,Annual,Self-serve,111.63,55,466.7,26,1,0,8.1,1,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1291,2020-06-12,2024-12-29,Northern Ireland,Manufacturing,Enterprise,Annual,Renewal upgrade,354.47,54,179.0,7,3,0,8.1,10,Customer happy with product but needs integration advice.,,,,0
CUST-1292,2022-11-12,2024-12-14,London,Education,Basic,Annual,Partner,33.02,25,50.3,0,2,1,6.7,10,,competitor,2025-01-18,none,1
CUST-1293,2020-10-24,2024-12-27,South West,Education,Premium,Annual,Partner,163.06,50,415.9,13,2,0,6.6,1,Manager requested renewal details and training resources.,,,,0
CUST-1294,2020-12-31,2024-12-27,London,Technology,Basic,Annual,Renewal upgrade,55.4,47,237.8,13,1,0,9.5,11,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1295,2023-06-11,2024-12-25,Northern Ireland,Healthcare,Premium,Annual,Partner,162.85,18,201.8,3,2,1,6.7,11,Multiple support contacts; wants faster response time.,competitor,2025-02-01,none,1
CUST-1296,2023-07-03,2024-12-25,South West,Professional Services,Premium,Annual,Sales-led,176.29,17,639.7,25,2,0,10.0,7,Support issue around onboarding and admin setup.,,,,0
CUST-1297,2023-01-19,2024-12-31,South West,Manufacturing,Premium,Annual,Renewal upgrade,182.65,23,653.5,27,3,0,7.3,4,Healthy adoption in team; users asked for reporting improvements.,,,,0
CUST-1298,2021-03-27,2024-12-14,Midlands,Public Sector,Basic,Monthly,Self-serve,35.35,45,48.6,0,1,1,6.8,7,Healthy adoption in team; users asked for reporting improvements.,competitor,2025-02-04,success_call,1
