learner_id,department,region,role_family,employee_band,training_type,enrolment_date,prior_python_score,course_minutes,engagement_score,manager_support_score,support_tickets_last_30d,completion_days,completed_on_time
L10044,Operations,Bristol,Specialist,A,Data Literacy,2026-03-03,70.6,125.9,83.5,3.0,3,,1
L10569,Operations,Bristol,Associate,A,Data Literacy,2026-02-16,40.3,185.9,62.4,4.0,2,5.0,1
L10099,Finance,Unknown,Analyst,A,Data Literacy,2026-02-04,31.0,188.9,72.5,2.0,4,8.0,0
L10585,,Manchester,Analyst,B,Responsible AI,2026-01-16,39.2,132.1,44.6,1.0,0,23.0,0
L10430,Sales,Leeds,Coordinator,D,Data Literacy,2026-01-31,59.1,52.0,,1.0,5,16.0,0
L10101,Support,Birmingham,Manager,B,Data Literacy,2026-02-22,64.8,54.5,49.7,1.0,3,8.0,1
L10042,finance,London,Coordinator,B,AI Awareness,2026-02-01,37.2,153.7,62.5,5.0,0,9.0,1
L10265,Finance,Birmingham,Manager,B,AI Awareness,2026-01-17,42.0,185.2,73.1,3.0,2,22.0,1
L10196,Operations,REMOTE,Technician,C,ML Foundations,2026-04-02,55.3,124.2,,1.0,6,22.0,1
L10495,finance,London,Technician,A,AI Awareness,2026-03-31,65.0,120.1,74.8,4.0,3,10.0,1
L10013,Human Resources,Unknown,Technician,B,AI Awareness,2026-02-14,30.6,172.5,,3.0,2,17.0,0
L10220,Information Technology,remote ,Associate,C,ML Foundations,2026-02-26,32.9,178.2,64.7,4.0,1,,1
L10344,Finance,Manchester,Analyst,C,Data Literacy,2026-03-24,60.8,148.0,62.7,2.0,2,12.0,0
L10213,Support,Remote,Coordinator,C,ML Foundations,2026-02-21,30.6,246.6,67.9,1.0,0,6.0,1
L10119,HR,London,Manager,A,Data Literacy,2026-04-01,51.7,131.4,72.6,5.0,2,21.0,1
L10365,sales,Remote,Analyst,D,AI Awareness,2026-03-18,23.3,147.3,73.0,1.0,4,13.0,1
L10389,IT,Remote,Associate,B,Responsible AI,2026-01-07,26.8,92.9,76.7,4.0,3,10.0,1
L10069,,Bristol,Coordinator,B,ML Foundations,2026-02-18,33.9,56.1,39.6,1.0,3,17.0,0
L10297,finance,London,Manager,C,Data Literacy,2026-02-10,55.9,82.1,29.7,1.0,3,10.0,0
L10172,Sales,Remote,Technician,B,Data Literacy,2026-02-25,,151.7,77.7,1.0,1,17.0,1
L10149,Information Technology,London,Associate,C,Python Basics,2026-01-11,48.6,146.3,51.3,1.0,1,20.0,0
L10236,Sales,London,Manager,A,Responsible AI,2026-01-20,21.2,53.2,77.8,1.0,2,16.0,1
L10592,IT,Manchester,Analyst,B,Data Literacy,2026-03-15,55.3,129.7,100.0,4.0,5,17.0,1
L10547,finance,Cardiff,Manager,D,ML Foundations,2026-01-19,57.7,48.9,54.8,2.0,3,19.0,0
L10180,Support,London,Technician,B,Responsible AI,2026-03-27,25.5,150.8,78.9,5.0,2,13.0,1
L10100,Support,Bristol,Manager,B,AI Awareness,2026-03-23,51.2,124.1,97.0,1.0,3,10.0,1
L10518,HR,Remote,Technician,D,Responsible AI,2026-01-18,44.4,183.7,100.0,5.0,1,25.0,1
L10127,HR,Bristol,Coordinator,A,ML Foundations,2026-03-28,72.0,125.8,68.9,3.0,3,12.0,0
L10438,HR,Remote,Manager,A,Responsible AI,2026-02-02,67.0,191.5,50.0,4.0,4,11.0,1
L10528, OPERATIONS ,London,Analyst,D,Data Literacy,2026-02-22,57.6,65.4,99.4,5.0,2,15.0,1
L10103,Finance,London,Manager,B,Data Literacy,2026-01-15,44.2,113.4,89.8,5.0,3,15.0,1
L10471,HR,Remote,Analyst,B,AI Awareness,2026-03-04,62.1,144.5,37.8,1.0,3,28.0,0
L10246,Information Technology,Birmingham,Analyst,D,AI Awareness,2026-02-01,42.9,98.3,73.4,4.0,0,16.0,1
L10562,Information Technology,Remote,Coordinator,B,Responsible AI,2026-01-24,64.4,105.8,93.4,3.0,1,5.0,1
L10120,Information Technology,London,Analyst,D,AI Awareness,2026-03-16,33.1,133.2,47.4,2.0,0,14.0,0
L10076,Information Technology,Manchester,Specialist,A,Python Basics,2026-01-23,79.3,132.7,54.7,2.0,2,16.0,1
L10053, OPERATIONS ,London,Associate,A,AI Awareness,2026-02-23,32.4,156.7,65.8,1.0,2,5.0,0
L10229,Human Resources,Remote,Coordinator,B,Python Basics,2026-02-19,82.0,88.5,27.4,4.0,1,17.0,0
L10352, OPERATIONS ,Manchester,Specialist,A,AI Awareness,2026-03-03,12.4,185.5,90.7,2.0,5,6.0,1
L10110,,Birmingham,Associate,B,Data Literacy,2026-03-13,98.9,176.1,41.5,2.0,5,9.0,0
L10007,Support,,Specialist,B,Python Basics,2026-01-24,83.2,185.6,45.8,2.0,3,14.0,1
L10025,Operations,Birmingham,Analyst,B,Responsible AI,2026-01-14,57.4,150.7,69.0,3.0,1,26.0,1
L10292,,Manchester,Technician,A,Responsible AI,2026-04-04,50.4,80.5,59.0,3.0,2,14.0,1
L10309,Sales,Remote,Technician,A,ML Foundations,2026-02-20,,121.8,63.4,1.0,1,19.0,1
L10560,Human Resources,London,Coordinator,A,Python Basics,2026-02-05,55.7,139.1,,5.0,1,,0
L10345,Information Technology,Manchester,Associate,A,AI Awareness,2026-01-20,45.8,79.3,52.8,5.0,1,11.0,0
L10207,operations,Remote,Technician,B,AI Awareness,2026-03-27,87.8,117.6,59.5,1.0,2,18.0,0
L10524,HR,Edinburgh,Analyst,B,AI Awareness,2026-02-12,,147.9,44.9,3.0,2,18.0,1
L10020,Human Resources,Manchester,Coordinator,A,AI Awareness,2026-02-04,63.6,132.0,72.5,3.0,0,10.0,1
L10542,IT,remote ,Analyst,B,AI Awareness,2026-02-11,68.9,112.5,56.0,1.0,3,18.0,1
L10009,sales,Birmingham,Associate,A,ML Foundations,2026-02-12,78.4,152.8,84.0,1.0,0,26.0,1
L10578,Information Technology,Remote,Associate,B,ML Foundations,2026-02-08,54.6,170.3,33.1,2.0,2,25.0,0
L10581,Customer Support,Manchester,Associate,B,AI Awareness,2026-03-12,40.1,177.0,75.6,1.0,3,14.0,0
L10502,finance,Manchester,Specialist,D,Python Basics,2026-01-23,31.5,97.9,85.2,1.0,3,17.0,1
L10378,IT,London,Coordinator,A,Data Literacy,2026-02-27,52.1,120.1,47.7,4.0,4,19.0,0
L10460,sales,London,Coordinator,A,Responsible AI,2026-03-17,37.9,234.5,61.0,3.0,4,17.0,1
L10188,Finance,remote ,Manager,B,ML Foundations,2026-03-14,62.3,171.9,81.6,4.0,5,17.0,1
L10162, OPERATIONS ,London,Coordinator,C,Python Basics,2026-02-10,61.2,119.9,54.1,,4,2.0,0
L10447,Finance,Birmingham,Associate,A,Data Literacy,2026-03-15,50.5,96.4,100.0,5.0,0,6.0,1
L10351,Sales,Manchester,Specialist,C,Python Basics,2026-01-17,61.8,179.9,,,2,13.0,0
L10216,Support,London,Associate,B,ML Foundations,2026-03-15,51.4,121.1,,1.0,1,17.0,0
L10485,HR,Leeds,Specialist,D,ML Foundations,2026-02-22,15.6,86.7,57.0,2.0,3,16.0,0
L10514,IT,,Analyst,A,Data Literacy,2026-03-01,74.0,118.2,67.8,5.0,0,14.0,1
L10535,sales,remote ,Associate,D,ML Foundations,2026-03-12,25.4,113.7,72.3,3.0,2,7.0,0
L10096,Sales,Leeds,Technician,C,ML Foundations,2026-02-05,22.3,121.2,60.3,1.0,1,23.0,0
L10244,sales,London,Analyst,D,Responsible AI,2026-02-22,83.2,175.1,66.0,5.0,1,15.0,1
L10496,Finance,Manchester,Associate,A,Data Literacy,2026-03-02,71.2,115.3,84.8,5.0,2,25.0,1
L10014,Sales,Bristol,Coordinator,B,Data Literacy,2026-02-11,53.7,196.4,,2.0,2,18.0,0
L10242,IT,Edinburgh,Manager,C,ML Foundations,2026-03-17,52.3,121.0,73.3,4.0,2,10.0,1
L10325,Sales,Manchester,Analyst,B,Python Basics,2026-02-01,44.2,87.0,60.4,3.0,3,18.0,1
L10327,Sales,London,Manager,B,AI Awareness,2026-01-24,25.0,88.2,78.5,4.0,2,14.0,1
L10429,Information Technology,Edinburgh,Analyst,B,AI Awareness,2026-03-18,34.5,87.4,70.3,4.0,1,10.0,1
L10491,Operations,Edinburgh,Associate,B,AI Awareness,2026-02-16,88.2,95.0,80.4,4.0,1,,1
L10364,IT,Manchester,Associate,B,Data Literacy,2026-01-16,50.3,119.9,75.2,5.0,2,4.0,1
L10163,Finance,Remote,Manager,A,Python Basics,2026-01-24,37.2,129.1,55.5,2.0,2,16.0,1
L10461,Operations,London,Analyst,A,AI Awareness,2026-03-17,76.0,98.5,61.6,5.0,3,3.0,1
L10459,Support,Cardiff,Coordinator,A,ML Foundations,2026-03-01,42.0,111.2,37.7,2.0,4,16.0,0
L10286,Human Resources,Cardiff,Specialist,A,Responsible AI,2026-03-18,87.5,140.4,,5.0,1,9.0,1
L10249,Support,Birmingham,Manager,D,Python Basics,2026-03-19,45.3,130.9,60.2,4.0,1,25.0,1
L10264,,Leeds,Coordinator,B,AI Awareness,2026-02-12,36.0,181.3,54.7,1.0,4,12.0,0
L10383,Information Technology,REMOTE,Coordinator,A,Data Literacy,2026-02-23,39.7,177.4,87.8,2.0,0,16.0,1
L10293,Customer Support,REMOTE,Technician,B,ML Foundations,2026-02-23,56.8,125.5,73.3,1.0,0,,1
L10531,Human Resources,Edinburgh,Manager,A,ML Foundations,2026-02-09,46.6,56.7,73.3,3.0,0,4.0,1
L10294, OPERATIONS ,Cardiff,Manager,B,Data Literacy,2026-01-30,69.6,98.0,86.4,1.0,1,21.0,1
L10232, OPERATIONS ,Leeds,Specialist,C,Data Literacy,2026-03-11,,140.5,55.9,1.0,2,13.0,0
L10559,HR,Birmingham,Coordinator,B,ML Foundations,2026-02-01,14.6,161.7,60.8,4.0,4,9.0,0
L10425,sales,Remote,Analyst,C,Data Literacy,2026-01-29,39.4,89.9,42.0,4.0,4,16.0,0
L10304,Customer Support,London,Specialist,D,AI Awareness,2026-03-01,48.9,148.7,39.1,4.0,1,10.0,0
L10410,Information Technology,London,Associate,C,Data Literacy,2026-03-02,50.9,55.7,89.3,2.0,2,9.0,1
L10568,Sales,Manchester,Analyst,A,Responsible AI,2026-02-22,10.3,89.3,100.0,4.0,2,22.0,1
L10171,Information Technology,Birmingham,Coordinator,A,Responsible AI,2026-03-03,80.4,118.2,69.4,3.0,5,11.0,1
L10157,IT,Remote,Associate,B,Data Literacy,2026-01-14,41.4,167.5,65.5,4.0,3,16.0,0
L10390, OPERATIONS ,REMOTE,Coordinator,B,Data Literacy,29/01/2026,51.2,126.6,71.6,3.0,1,7.0,1
L10307,Human Resources,Cardiff,Analyst,B,Responsible AI,2026-02-08,31.4,117.5,67.1,2.0,1,11.0,1
L10409,Finance,London,Coordinator,A,Data Literacy,2026-02-18,22.3,54.5,95.1,5.0,1,15.0,1
L10570,,Cardiff,Technician,C,Responsible AI,2026-03-10,63.7,56.3,50.8,5.0,0,6.0,1
L10339,HR,,Specialist,C,Data Literacy,2026-03-07,45.9,110.3,41.5,5.0,1,13.0,0
L10590,Operations,Remote,Coordinator,C,Python Basics,2026-03-16,93.5,158.3,54.3,4.0,3,26.0,0
L10080,Operations,Leeds,Manager,C,Responsible AI,2026-02-10,53.4,180.5,94.8,2.0,1,21.0,1
L10349,Operations,London,Manager,C,AI Awareness,2026-03-17,45.3,172.6,70.5,4.0,2,14.0,1
L10363,Finance,Unknown,Associate,D,ML Foundations,2026-03-28,41.1,87.9,61.3,5.0,2,13.0,1
L10156,Finance,Bristol,Technician,D,Responsible AI,2026-01-31,55.8,151.1,82.6,4.0,3,13.0,1
L10179,IT,Leeds,Associate,C,AI Awareness,2026-03-01,73.7,137.1,63.1,3.0,1,22.0,1
L10152,,Birmingham,Specialist,A,AI Awareness,2026-01-28,50.0,75.6,72.6,2.0,1,19.0,1
L10151,Information Technology,remote ,Technician,B,Data Literacy,2026-03-28,70.9,84.0,53.7,3.0,3,21.0,0
L10078,Finance,Bristol,Technician,A,Responsible AI,2026-03-06,38.9,242.4,53.9,3.0,2,14.0,0
L10591,Information Technology,London,Manager,C,AI Awareness,2026-03-26,50.7,123.5,52.4,3.0,2,11.0,1
L10140,Finance,Bristol,Technician,D,ML Foundations,2026-04-01,58.1,92.8,97.4,3.0,2,12.0,1
L10504,finance,London,Manager,B,AI Awareness,2026-01-10,,109.1,87.4,4.0,2,10.0,1
L10441,Operations,London,Analyst,C,Responsible AI,2026-03-15,,171.0,89.0,2.0,1,8.0,1
L10092,Human Resources,Edinburgh,Manager,B,Data Literacy,2026-02-15,26.0,127.7,51.0,5.0,1,7.0,1
L10546, OPERATIONS ,Bristol,Technician,B,Python Basics,2026-02-27,38.9,64.7,72.3,2.0,5,17.0,0
L10586,Customer Support,Edinburgh,Specialist,C,Python Basics,2026-02-05,74.3,105.1,81.0,2.0,2,21.0,1
L10319,Information Technology,Remote,Technician,C,AI Awareness,2026-01-20,66.3,134.0,71.8,2.0,2,9.0,1
L10131,Customer Support,Manchester,Analyst,B,AI Awareness,2026-01-24,-10.0,90.8,43.0,4.0,2,13.0,0
L10197,Human Resources,Cardiff,Analyst,C,ML Foundations,2026-02-19,68.3,74.5,84.3,1.0,3,14.0,1
L10419,IT,Edinburgh,Technician,B,Responsible AI,2026-01-18,42.5,148.7,50.3,2.0,1,17.0,0
L10516,Operations,London,Manager,B,Data Literacy,2026-03-15,48.8,49.7,71.2,4.0,2,23.0,1
L10104,Customer Support,Manchester,Specialist,B,Python Basics,2026-03-26,36.6,95.9,61.1,1.0,4,7.0,0
L10593,sales,Manchester,Technician,B,ML Foundations,2026-01-10,52.7,122.5,,1.0,4,24.0,0
L10478,Information Technology,Unknown,Technician,A,AI Awareness,2026-03-09,59.3,94.5,61.4,4.0,4,10.0,1
L10107, OPERATIONS ,Bristol,Technician,A,Data Literacy,2026-01-27,59.8,231.1,91.7,1.0,1,17.0,1
L10199,Sales,Bristol,Associate,A,Data Literacy,2026-01-30,62.1,158.0,83.1,2.0,1,13.0,1
L10356,finance,REMOTE,Specialist,A,Data Literacy,2026-01-12,62.6,102.3,33.6,4.0,1,4.0,0
L10565,Operations,Remote,Technician,C,Data Literacy,2026-01-28,44.1,154.9,67.2,2.0,4,3.0,1
L10449,Sales,Manchester,Coordinator,B,ML Foundations,2026-03-02,125.0,111.0,89.0,2.0,3,10.0,1
L10521,Finance,Bristol,Associate,B,Data Literacy,2026-03-15,39.2,149.2,32.2,2.0,2,18.0,0
L10582,HR,Remote,Specialist,B,ML Foundations,2026-03-13,64.9,185.0,77.3,1.0,5,14.0,1
L10133,operations,Bristol,Associate,D,AI Awareness,2026-01-11,62.7,105.1,49.5,2.0,3,16.0,0
L10118,HR,Birmingham,Manager,A,AI Awareness,2026-03-01,65.7,125.4,74.4,5.0,3,18.0,1
L10370,sales,Manchester,Coordinator,B,Data Literacy,2026-03-10,55.8,105.1,79.8,3.0,1,17.0,1
L10302,sales,Remote,Associate,A,Data Literacy,2026-01-26,31.9,116.8,95.6,4.0,0,10.0,1
L10134,HR,,Specialist,A,AI Awareness,2026-01-12,-10.0,169.3,71.5,2.0,1 tickets,16.0,1
L10446,Finance,Leeds,Technician,B,ML Foundations,2026-03-10,78.2,1440.0,75.0,3.0,3,13.0,1
L10457,Human Resources,Manchester,Technician,B,AI Awareness,2026-01-21,47.0,94.5,91.8,4.0,0,13.0,1
L10162, OPERATIONS ,London,Coordinator,C,Python Basics,2026-02-10,61.2,119.9,54.1,,4,2.0,0
L10432,operations,Birmingham,Coordinator,D,Responsible AI,2026-04-03,45.4,243.1,67.1,3.0,3,16.0,1
L10005,Human Resources,Bristol,Analyst,C,ML Foundations,2026-02-16,32.8,122.3,62.8,3.0,1,12.0,1
L10278,Information Technology,REMOTE,Specialist,C,Data Literacy,2026-01-28,39.9,154.4,77.8,4.0,1,17.0,1
L10424,Finance,London,Analyst,B,ML Foundations,2026-02-19,84.7,138.5,43.8,2.0,0,11.0,1
L10282,sales,,Associate,D,Python Basics,2026-03-12,30.7,196.4,51.1,4.0,2 tickets,15.0,0
L10315,Human Resources,,Technician,B,ML Foundations,2026-03-05,44.0,97.3,77.5,3.0,3,6.0,0
L10409,Finance,London,Coordinator,A,Data Literacy,2026-02-18,22.3,54.5,95.1,5.0,1,15.0,1
L10115,IT,Manchester,Manager,A,AI Awareness,2026-02-07,92.0,105.1,76.9,3.0,2,16.0,1
L10416,finance,Remote,Analyst,A,Data Literacy,2026-01-06,81.1,59.8,44.0,3.0,4,9.0,0
L10075,Sales,London,Associate,A,ML Foundations,2026-03-30,50.5,118.5,62.3,4.0,2,6.0,1
L10494,operations,Leeds,Coordinator,D,Data Literacy,2026-02-19,51.8,58.5,66.9,5.0,2,16.0,1
L10462,Human Resources,Cardiff,Associate,A,AI Awareness,2026-03-04,30.1,90.2,80.8,3.0,2,,1
L10539,Operations,London,Coordinator,A,AI Awareness,2026-02-23,93.2,66.1,59.1,1.0,2,13.0,0
L10333,Information Technology,Unknown,Specialist,B,Data Literacy,2026-02-20,44.8,245.3,45.3,3.0,1,20.0,0
L10208,operations,London,Technician,A,Data Literacy,2026-01-25,59.1,147.3,,3.0,1,6.0,1
L10206,IT,Bristol,Technician,A,AI Awareness,2026-02-07,43.4,177.1,91.9,5.0,3,10.0,1
L10073,Support,Manchester,Technician,A,Data Literacy,2026-03-11,42.6,116.6,57.9,2.0,2,25.0,1
L10008,Customer Support,Unknown,Specialist,B,Data Literacy,2026-01-19,,150.2,80.3,3.0,2,16.0,1
L10222,Operations,Edinburgh,Manager,A,Python Basics,2026-02-05,40.4,152.6,66.3,1.0,2,22.0,0
L10045,Support,Birmingham,Manager,A,AI Awareness,2026-02-18,42.4,112.1,74.8,3.0,4,18.0,1
L10262,IT,Birmingham,Technician,C,Python Basics,2026-04-02,65.4,168.5,60.0,3.0,4,25.0,0
L10027,,Manchester,Manager,A,Data Literacy,2026-01-29,67.5,119.2,64.6,1.0,3,16.0,1
L10003,Finance,Manchester,Analyst,B,Python Basics,2026-03-24,,125.5,85.9,5.0,2,19.0,1
L10323,Support,London,Technician,C,ML Foundations,2026-01-07,48.9,186.2,82.5,3.0,2,,0
L10016,Support,Unknown,Coordinator,C,Data Literacy,2026-03-02,,131.1,60.5,1.0,2,19.0,0
L10239, OPERATIONS ,Bristol,Manager,A,AI Awareness,2026-01-19,68.6,143.4,72.6,2.0,2,6.0,1
L10041, OPERATIONS ,remote ,Specialist,C,Data Literacy,2026-01-07,62.8,154.4,59.4,1.0,1,,0
L10176, OPERATIONS ,London,Specialist,A,AI Awareness,2026-02-11,-10.0,53.4,76.7,3.0,2,3.0,1
L10272,Finance,REMOTE,Coordinator,C,AI Awareness,2026-01-23,68.4,239.9,53.1,1.0,1,13.0,1
L10387, OPERATIONS ,Remote,Technician,A,ML Foundations,2026-02-15,41.9,189.8,91.3,4.0,1,20.0,1
L10479,Finance,Birmingham,Specialist,B,Data Literacy,2026-01-20,69.4,144.4,23.7,2.0,1,9.0,0
L10079,Finance,,Coordinator,A,Responsible AI,2026-03-21,33.9,81.9,35.4,4.0,3,12.0,0
L10402,Customer Support,Bristol,Specialist,C,AI Awareness,2026-01-06,49.7,182.6,47.4,3.0,5,15.0,0
L10164,operations,Remote,Specialist,C,Data Literacy,2026-03-10,86.6,155.8,81.6,3.0,0,18.0,1
L10407,,Birmingham,Manager,D,Data Literacy,2026-02-20,56.7,83.6,89.0,2.0,3,16.0,1
L10059,Human Resources,Cardiff,Manager,A,Python Basics,2026-01-05,42.0,182.3,64.1,4.0,0,16.0,1
L10480,sales,Manchester,Analyst,C,Python Basics,2026-02-28,44.8,146.1,87.4,5.0,1,17.0,1
L10393,Sales,Remote,Associate,B,Responsible AI,2026-01-11,45.6,248.1,60.5,2.0,1,15.0,0
L10493,,Unknown,Analyst,B,Python Basics,2026-03-16,71.5,62.6,66.3,2.0,2,,1
L10533,Finance,Remote,Specialist,C,Responsible AI,2026-01-21,,229.8,81.0,3.0,1,11.0,1
L10183,operations,Remote,Associate,A,ML Foundations,2026-01-18,39.2,76.8,57.6,5.0,4,18.0,0
L10320,operations,Bristol,Associate,A,Python Basics,2026-03-25,34.4,141.7,58.6,3.0,2,17.0,1
L10177,operations,Remote,Manager,A,ML Foundations,2026-03-11,46.2,103.1,80.9,1.0,2,19.0,1
L10550, OPERATIONS ,Cardiff,Specialist,D,ML Foundations,2026-02-23,65.9,150.3,77.0,5.0,2,13.0,1
L10093,Information Technology,London,Analyst,A,AI Awareness,2026-01-09,56.0,220.9,76.8,3.0,1,14.0,1
L10168, OPERATIONS ,Leeds,Manager,B,AI Awareness,2026-02-08,56.3,139.7,53.0,4.0,4,15.0,0
L10201,Finance,Manchester,Coordinator,B,Responsible AI,2026-02-25,53.7,-30.0,55.4,5.0,3,11.0,1
L10082,Customer Support,London,Analyst,A,ML Foundations,2026-01-31,36.3,119.7,72.4,4.0,1,22.0,1
L10025,Operations,Birmingham,Analyst,B,Responsible AI,2026-01-14,57.4,150.7,69.0,3.0,1,26.0,1
L10158,Support,Remote,Manager,B,ML Foundations,2026-02-07,48.7,243.4,82.7,4.0,1,23.0,1
L10085,IT,Manchester,Analyst,A,Python Basics,2026-02-22,17.6,53.2,50.1,4.0,0,13.0,1
L10191,operations,Bristol,Coordinator,B,Data Literacy,2026-03-17,42.8,182.5,55.1,2.0,1,12.0,0
L10153,sales,London,Analyst,A,AI Awareness,2026-01-19,62.8,181.8,33.0,5.0,1,25.0,0
L10154,Sales,Leeds,Associate,D,Data Literacy,2026-03-12,48.5,158.0,43.7,3.0,5,17.0,0
L10130,Information Technology,Edinburgh,Associate,B,Python Basics,2026-01-12,67.4,180.3,71.3,1.0,2,13.0,1
L10405,Operations,London,Technician,B,Python Basics,27/02/2026,66.2,176.0,54.1,1.0,0,26.0,1
L10397,Sales,,Coordinator,A,AI Awareness,2026-02-12,39.6,63.4,59.7,3.0,3 tickets,9.0,0
L10372,operations,Remote,Technician,B,Responsible AI,2026-03-30,64.3,176.5,55.3,4.0,1,11.0,1
L10487,Information Technology,Leeds,Associate,C,Python Basics,2026-03-17,49.2,94.8,87.8,2.0,5,18.0,1
L10452,sales,Bristol,Technician,C,Data Literacy,2026-02-11,76.9,178.4,45.9,3.0,0,5.0,1
L10010,HR,London,Specialist,A,Responsible AI,2026-02-03,52.6,186.3,150.0,1.0,4,20.0,0
L10086,Customer Support,Leeds,Associate,A,AI Awareness,2026-02-15,100.0,238.1,67.9,2.0,5,14.0,1
L10035,operations,Bristol,Manager,C,Data Literacy,2026-02-03,55.1,154.6,73.3,3.0,5,20.0,1
L10588,Sales,Birmingham,Analyst,C,ML Foundations,2026-01-17,47.0,103.2,90.0,2.0,1,17.0,1
L10213,Support,Remote,Coordinator,C,ML Foundations,2026-02-21,30.6,246.6,67.9,1.0,0,6.0,1
L10381,Support,Cardiff,Technician,C,Data Literacy,2026-02-23,51.6,190.5,61.7,1.0,3,15.0,0
L10028,Operations,Leeds,Specialist,D,Data Literacy,2026-03-07,64.6,84.0,83.2,4.0,1,6.0,1
L10050,Information Technology,Leeds,Coordinator,A,Data Literacy,2026-01-25,61.6,92.8,83.3,2.0,1,21.0,1
L10311,Operations,,Technician,C,Python Basics,2026-03-28,-10.0,119.0,54.2,4.0,3 tickets,20.0,0
L10303,operations,Birmingham,Manager,A,Python Basics,2026-03-11,,84.1,,4.0,2,7.0,1
L10117,Finance,London,Manager,B,ML Foundations,2026-02-06,52.6,91.6,44.0,5.0,1,9.0,0
L10107, OPERATIONS ,Bristol,Technician,A,Data Literacy,2026-01-27,59.8,231.1,91.7,1.0,1,17.0,1
L10198,Operations,Unknown,Manager,D,AI Awareness,2026-03-06,77.2,247.8,100.0,2.0,1,13.0,1
L10159,finance,REMOTE,Associate,B,Data Literacy,2026-03-07,2.6,57.7,60.7,,2,20.0,1
L10281,finance,remote ,Technician,B,ML Foundations,2026-02-23,36.9,185.3,58.5,5.0,3,13.0,1
L10074,operations,Manchester,Specialist,A,Responsible AI,2026-03-15,68.0,129.2,59.9,2.0,2,18.0,1
L10558,operations,London,Associate,D,Data Literacy,2026-02-13,57.2,125.1,94.6,1.0,3,17.0,1
L10353, OPERATIONS ,Birmingham,Manager,B,Python Basics,2026-03-27,60.0,155.3,60.5,3.0,1,22.0,0
L10029,finance,Unknown,Coordinator,C,ML Foundations,2026-02-07,,87.0,69.9,3.0,1,15.0,1
L10335,Sales,London,Coordinator,A,Data Literacy,2026-02-22,24.8,83.9,100.0,2.0,3,21.0,1
L10435, OPERATIONS ,Edinburgh,Manager,B,AI Awareness,2026-01-20,56.2,170.3,46.2,2.0,2,12.0,0
L10454,sales,Remote,Manager,B,Data Literacy,2026-02-04,34.2,168.9,73.8,1.0,2,16.0,0
L10011,Human Resources,Birmingham,Specialist,C,Python Basics,2026-01-23,66.3,91.1,100.0,2.0,1,7.0,1
L10142,,Unknown,Specialist,C,ML Foundations,2026-03-22,34.1,140.4,35.9,4.0,2,6.0,0
L10394,IT,London,Specialist,A,Responsible AI,2026-01-16,25.8,124.7,65.7,5.0,5,14.0,1
L10545,Customer Support,Manchester,Technician,A,Responsible AI,2026-03-23,26.8,73.6,69.5,,1,20.0,1
L10508,operations,Leeds,Technician,D,ML Foundations,2026-01-06,43.0,96.1,83.1,5.0,4,10.0,1
L10285,,Remote,Associate,B,Data Literacy,2026-01-13,42.2,190.5,63.4,2.0,3,12.0,0
L10517,Finance,Unknown,Analyst,B,Python Basics,2026-02-14,100.0,121.6,,2.0,1,22.0,1
L10067,Support,Birmingham,Manager,A,Data Literacy,2026-03-26,79.6,253.9,999.0,4.0,2,22.0,1
L10523,Sales,London,Specialist,A,Data Literacy,2026-03-30,30.6,84.4,75.3,5.0,2,11.0,1
L10338,Information Technology,Unknown,Analyst,B,ML Foundations,2026-03-31,32.2,108.7,45.3,5.0,4,9.0,0
L10324,Support,Remote,Coordinator,D,Data Literacy,2026-02-11,45.4,90.7,48.7,2.0,4,21.0,0
L10451,IT,remote ,Technician,B,AI Awareness,2026-02-25,90.5,179.8,57.5,2.0,2,12.0,1
L10375,Finance,Remote,Coordinator,A,AI Awareness,2026-03-10,72.6,139.9,62.3,4.0,0,13.0,1
L10329,Finance,Birmingham,Coordinator,B,Python Basics,2026-02-16,56.9,54.9,40.2,1.0,1,13.0,0
L10298,Finance,REMOTE,Manager,D,Data Literacy,2026-02-21,65.3,85.2,75.0,3.0,1,10.0,1
L10314,operations,Unknown,Coordinator,A,ML Foundations,2026-01-28,24.6,97.7,55.1,5.0,4,7.0,0
L10248,Support,London,Specialist,B,AI Awareness,2026-01-21,52.7,113.7,86.3,2.0,2,16.0,1
L10483,Sales,Manchester,Technician,B,Responsible AI,2026-02-20,54.9,227.8,57.2,5.0,0,14.0,1
L10263,sales,Manchester,Analyst,D,AI Awareness,2026-01-24,59.0,159.9,86.0,1.0,1,11.0,1
L10433,Finance,Leeds,Specialist,B,ML Foundations,2026-02-14,55.0,242.0,100.0,3.0,0,15.0,1
L10386,Customer Support,Remote,Coordinator,B,AI Awareness,2026-03-12,55.2,153.4,82.9,3.0,3,10.0,1
L10473,Information Technology,Unknown,Analyst,A,AI Awareness,2026-02-25,,178.2,53.6,1.0,2,17.0,0
L10305,Customer Support,Remote,Specialist,C,ML Foundations,2026-01-05,51.3,141.3,57.4,1.0,1,16.0,1
L10341,sales,Leeds,Specialist,B,Python Basics,2026-02-22,47.6,180.0,69.2,5.0,1,20.0,1
L10019,HR,Bristol,Analyst,C,ML Foundations,2026-01-28,,183.1,79.0,5.0,2,12.0,1
L10587,Operations,London,Specialist,A,ML Foundations,2026-01-19,62.8,181.4,70.6,5.0,0,8.0,1
L10121,Finance,,Specialist,B,AI Awareness,2026-03-16,52.7,159.4,90.7,2.0,2 tickets,,1
