customer_id,signup_date,last_login_date,region,sector,plan_type,contract_type,acquisition_channel,monthly_fee_gbp,tenure_months,usage_minutes_30d,active_days_30d,support_tickets_90d,invoices_late_6m,satisfaction_score,renewal_month,account_notes,cancellation_reason,account_closed_date,retention_offer_after_churn,churned,signup_month,signup_quarter,days_since_last_login,tenure_band,usage_per_active_day,fee_per_usage_minute,ticket_rate_per_tenure,low_usage_high_tickets_flag,monthly_contract_low_satisfaction_flag,account_note_length,mentions_price_issue,mentions_support_issue,late_payment_rate,days_to_renewal,satisfaction_x_support_load
CUST-1177,2022-06-03,2024-12-31,North West,Retail,Basic,Annual,Self-serve,47.21,30,189.7,8,2,1,7.3,3,Multiple support contacts; wants faster response time.,,,,0,6,2,0,established,23.7125,0.24886663152345812,0.06666666666666667,0,0,54,0,1,0.03333333333333333,60,5.4
CUST-1178,2022-06-17,2024-12-24,South West,Retail,Standard,Monthly,Sales-led,97.02,30,270.5,10,3,2,6.6,5,Invoice query raised; finance contact requested clarification.,,,,0,6,2,7,established,27.05,0.3586691312384473,0.1,0,0,62,1,0,0.06666666666666667,121,10.200000000000001
CUST-1179,2021-05-26,2024-12-24,South West,Retail,Enterprise,Annual,Sales-led,342.21,43,361.3,14,3,0,8.8,8,Manager requested renewal details and training resources.,,,,0,5,2,7,long_term,25.807142857142857,0.9471630224190423,0.06976744186046512,0,0,57,0,0,0.0,213,3.599999999999998
CUST-1180,2021-07-10,2024-12-27,Midlands,Education,Basic,Monthly,Sales-led,46.88,41,124.7,0,4,1,6.7,10,Manager requested renewal details and training resources.,price,2025-01-30,none,1,7,3,4,long_term,,0.3759422614274258,0.0975609756097561,0,0,57,0,0,0.024390243902439025,274,13.2
CUST-1181,2022-09-28,2024-12-31,South West,Healthcare,Basic,Monthly,Self-serve,49.73,27,131.9,11,2,2,4.9,3,,business_closed,2025-02-23,success_call,1,9,3,0,established,11.990909090909092,0.3770280515542077,0.07407407407407407,0,1,0,0,0,0.07407407407407407,60,10.2
CUST-1182,2020-02-26,2024-12-22,South West,Retail,Standard,Monthly,Self-serve,109.67,58,366.3,12,0,2,5.8,6,Customer mentioned price sensitivity and asked about lower plan options.,,,,0,2,1,9,long_term,30.525000000000002,0.2993993993993994,0.0,0,1,72,1,0,0.034482758620689655,152,0.0
CUST-1183,2020-12-12,2024-12-27,North West,Professional Services,Premium,Annual,Sales-led,177.81,48,251.8,14,1,0,8.7,10,Invoice query raised; finance contact requested clarification.,,,,0,12,4,4,long_term,17.985714285714288,0.7061556791104051,0.020833333333333332,0,0,62,1,0,0.0,274,1.3000000000000007
CUST-1184,2022-05-26,2024-12-30,South East,Education,Basic,Monthly,Renewal upgrade,53.79,31,246.3,7,3,0,9.8,8,Manager requested renewal details and training resources.,,,,0,5,2,1,established,35.18571428571429,0.2183922046285018,0.0967741935483871,0,0,57,0,0,0.0,213,0.5999999999999979
CUST-1185,2022-06-29,2024-12-30,Midlands,Technology,Standard,Annual,Self-serve,92.5,30,213.0,6,4,0,7.5,11,Manager requested renewal details and training resources.,support,2025-01-29,success_call,1,6,2,1,established,35.5,0.43427230046948356,0.13333333333333333,0,0,57,0,0,0.0,305,10.0
CUST-1186,2020-05-14,2024-12-28,Wales,Manufacturing,Premium,Monthly,Self-serve,185.87,55,376.5,20,0,0,10.0,12,Support issue around onboarding and admin setup.,,,,0,5,2,3,long_term,18.825,0.49367861885790176,0.0,0,0,48,0,1,0.0,335,0.0
CUST-1187,2023-02-24,2024-12-30,South East,Education,Standard,Annual,Self-serve,103.51,22,231.2,13,2,1,,7,Support issue around onboarding and admin setup.,business_closed,2025-03-27,success_call,1,2,1,1,established,17.784615384615385,0.44770761245674745,0.09090909090909091,0,0,48,0,1,0.045454545454545456,182,10.0
CUST-1188,2022-03-03,2024-12-18,London,Professional Services,Basic,Annual,Sales-led,59.39,33,225.1,10,2,0,8.3,11,Multiple support contacts; wants faster response time.,,,,0,3,1,13,established,22.509999999999998,0.2638382940915149,0.06060606060606061,0,0,54,0,1,0.0,305,3.3999999999999986
CUST-1189,2020-12-13,2024-12-24,Midlands,Retail,Basic,Monthly,Partner,57.56,48,99.4,7,4,1,,10,Invoice query raised; finance contact requested clarification.,low_usage,2025-02-05,discount,1,12,4,7,long_term,14.200000000000001,0.5790744466800805,0.08333333333333333,1,0,62,1,0,0.020833333333333332,274,20.0
CUST-1190,2023-01-02,2024-12-19,South East,Retail,Standard,Monthly,Self-serve,106.06,23,218.2,8,1,0,8.4,8,Customer happy with product but needs integration advice.,,,,0,1,1,12,established,27.275,0.48606782768102663,0.043478260869565216,0,0,57,0,0,0.0,213,1.5999999999999996
CUST-1191,2023-12-17,2024-12-20,South West,Public Sector,Standard,Monthly,Sales-led,97.82,12,133.7,5,5,1,8.2,6,Manager requested renewal details and training resources.,business_closed,2025-03-25,none,1,12,4,11,growing,26.74,0.7316379955123411,0.4166666666666667,0,0,57,0,0,0.08333333333333333,152,9.000000000000004
CUST-1192,2021-09-10,2024-12-08,South East,Technology,Premium,Annual,Renewal upgrade,181.94,39,204.4,6,0,0,9.1,9,Customer happy with product but needs integration advice.,,,,0,9,3,23,long_term,34.06666666666667,0.8901174168297455,0.0,0,0,57,0,0,0.0,244,0.0
CUST-1193,2021-02-17,2024-12-28,London,Technology,Standard,Monthly,Partner,111.76,46,160.2,10,0,0,9.3,2,Support issue around onboarding and admin setup.,,,,0,2,1,3,long_term,16.02,0.6976279650436955,0.0,0,0,48,0,1,0.0,32,0.0
CUST-1194,2021-03-13,2024-12-28,Northern Ireland,Technology,Premium,Annual,Partner,171.18,45,232.1,7,2,0,7.2,3,Low usage noted in recent month; customer did not attend webinar.,,,,0,3,1,3,long_term,33.15714285714286,0.7375269280482551,0.044444444444444446,0,0,65,0,0,0.0,60,5.6
CUST-1195,2022-05-15,2024-12-26,London,Technology,Enterprise,Monthly,Renewal upgrade,341.46,31,416.6,23,2,0,8.4,6,Healthy adoption in team; users asked for reporting improvements.,,,,0,5,2,5,established,18.11304347826087,0.8196351416226595,0.06451612903225806,0,0,65,0,0,0.0,152,3.1999999999999993
CUST-1196,2020-03-10,2024-12-29,London,Technology,Standard,Annual,Renewal upgrade,101.18,57,174.0,6,2,0,7.5,2,,business_closed,2025-03-24,none,1,3,1,2,long_term,29.0,0.5814942528735633,0.03508771929824561,0,0,0,0,0,0.0,32,5.0
CUST-1197,2021-12-06,2024-12-25,Scotland,Professional Services,Standard,Monthly,Sales-led,103.98,36,206.8,8,1,0,8.0,11,Customer mentioned price sensitivity and asked about lower plan options.,,,,0,12,4,6,established,25.85,0.5028046421663442,0.027777777777777776,0,0,72,1,0,0.0,305,2.0
CUST-1198,2020-02-06,2024-12-22,Northern Ireland,Professional Services,Enterprise,Monthly,Self-serve,339.11,58,442.6,21,1,0,10.0,12,Customer happy with product but needs integration advice.,,,,0,2,1,9,long_term,21.076190476190476,0.7661771351107094,0.017241379310344827,0,0,57,0,0,0.0,335,0.0
CUST-1199,2020-02-26,2024-12-27,London,Retail,Basic,Annual,Self-serve,48.1,58,222.7,9,2,1,4.0,11,Low usage noted in recent month; customer did not attend webinar.,,,,0,2,1,4,long_term,24.744444444444444,0.21598563089357883,0.034482758620689655,0,0,65,0,0,0.017241379310344827,305,12.0
CUST-1200,2021-09-19,2024-12-17,South East,Education,Premium,Monthly,Sales-led,177.87,39,76.2,2,1,2,6.9,2,Customer mentioned price sensitivity and asked about lower plan options.,competitor,2025-03-11,success_call,1,9,3,14,long_term,38.1,2.334251968503937,0.02564102564102564,0,0,72,1,0,0.05128205128205128,32,3.0999999999999996
CUST-1201,2022-12-24,2024-12-28,Midlands,Professional Services,Premium,Annual,Sales-led,152.42,24,107.4,4,2,0,7.3,9,Low usage noted in recent month; customer did not attend webinar.,,,,0,12,4,3,established,26.85,1.4191806331471135,0.08333333333333333,0,0,65,0,0,0.0,244,5.4
CUST-1202,2023-07-13,2024-12-31,South West,Public Sector,Basic,Monthly,Sales-led,46.36,17,175.0,11,3,0,5.4,2,Healthy adoption in team; users asked for reporting improvements.,,,,0,7,3,0,growing,15.909090909090908,0.2649142857142857,0.17647058823529413,0,1,65,0,0,0.0,32,13.799999999999999
CUST-1203,2020-05-07,2024-12-08,North West,Manufacturing,Standard,Monthly,Self-serve,97.11,55,146.2,3,1,2,8.1,3,Manager requested renewal details and training resources.,,,,0,5,2,23,long_term,48.73333333333333,0.6642270861833106,0.01818181818181818,0,0,57,0,0,0.03636363636363636,60,1.9000000000000004
CUST-1204,2020-12-22,2024-12-16,London,Education,Basic,Annual,Partner,47.08,48,64.3,2,0,0,6.7,5,Customer mentioned price sensitivity and asked about lower plan options.,,,,0,12,4,15,long_term,32.15,0.7321928460342146,0.0,0,0,72,1,0,0.0,121,0.0
CUST-1205,2021-09-07,2024-12-24,London,Professional Services,Basic,Annual,Partner,65.99,39,122.0,5,0,0,7.5,6,Customer happy with product but needs integration advice.,,,,0,9,3,7,long_term,24.4,0.5409016393442623,0.0,0,0,57,0,0,0.0,152,0.0
CUST-1206,2022-04-18,2024-12-30,South East,Retail,Standard,Annual,Sales-led,84.41,32,275.3,14,3,0,10.0,2,Low usage noted in recent month; customer did not attend webinar.,,,,0,4,2,1,established,19.664285714285715,0.30661096985107156,0.09375,0,0,65,0,0,0.0,32,0.0
CUST-1207,2023-12-12,2024-12-29,London,Professional Services,Standard,Monthly,Sales-led,89.1,12,159.3,6,3,1,8.6,11,Support issue around onboarding and admin setup.,,,,0,12,4,2,growing,26.55,0.559322033898305,0.25,0,0,48,0,1,0.08333333333333333,305,4.200000000000001
CUST-1208,2022-09-26,2024-12-20,Wales,Public Sector,Premium,Monthly,Self-serve,147.65,27,226.1,16,4,1,7.9,12,Multiple support contacts; wants faster response time.,price,2025-02-25,none,1,9,3,11,established,14.13125,0.653029632905794,0.14814814814814814,0,0,54,0,1,0.037037037037037035,335,8.399999999999999
CUST-1209,2022-02-25,2024-11-24,London,Education,Enterprise,Monthly,Self-serve,343.23,34,225.3,8,3,1,7.9,1,Customer happy with product but needs integration advice.,,,,0,2,1,37,established,28.1625,1.5234354194407458,0.08823529411764706,0,0,57,0,0,0.029411764705882353,1,6.299999999999999
CUST-1210,2020-03-29,2024-12-21,North West,Public Sector,Premium,Annual,Renewal upgrade,174.25,57,173.1,6,5,1,6.3,6,Low usage noted in recent month; customer did not attend webinar.,,,,0,3,1,10,long_term,28.849999999999998,1.0066435586366262,0.08771929824561403,0,0,65,0,0,0.017543859649122806,152,18.5
CUST-1211,2020-04-27,2024-12-18,Wales,Retail,Basic,Monthly,Renewal upgrade,42.88,56,162.0,6,1,1,10.0,4,,,,,0,4,2,13,long_term,27.0,0.26469135802469135,0.017857142857142856,0,0,0,0,0,0.017857142857142856,91,0.0
CUST-1212,2020-08-11,2024-12-29,Scotland,Healthcare,Basic,Monthly,Renewal upgrade,62.29,52,52.0,0,2,1,8.1,9,Low usage noted in recent month; customer did not attend webinar.,low_usage,2025-03-19,success_call,1,8,3,2,long_term,,1.1978846153846154,0.038461538461538464,0,0,65,0,0,0.019230769230769232,244,3.8000000000000007
CUST-1213,2022-08-22,2024-12-19,London,Healthcare,Basic,Monthly,Renewal upgrade,59.33,28,90.8,0,0,1,6.4,11,Customer happy with product but needs integration advice.,,,,0,8,3,12,established,,0.6534140969162996,0.0,0,0,57,0,0,0.03571428571428571,305,0.0
CUST-1214,2021-04-28,2024-12-28,Midlands,Public Sector,Basic,Monthly,Renewal upgrade,49.93,44,,6,1,2,5.3,12,Multiple support contacts; wants faster response time.,competitor,2025-03-24,none,1,4,2,3,long_term,,,0.022727272727272728,0,1,54,0,1,0.045454545454545456,335,4.7
CUST-1215,2020-12-17,2024-12-14,Midlands,Public Sector,Enterprise,Monthly,Self-serve,344.55,48,111.0,9,4,1,7.4,7,Low usage noted in recent month; customer did not attend webinar.,,,,0,12,4,17,long_term,12.333333333333334,3.104054054054054,0.08333333333333333,1,0,65,0,0,0.020833333333333332,182,10.399999999999999
CUST-1216,2022-09-05,2024-12-22,Midlands,Retail,Standard,Monthly,Sales-led,111.31,27,191.5,8,2,0,7.7,6,Healthy adoption in team; users asked for reporting improvements.,,,,0,9,3,9,established,23.9375,0.5812532637075718,0.07407407407407407,0,0,65,0,0,0.0,152,4.6
CUST-1217,2023-04-05,2024-12-27,London,Technology,Basic,Annual,Sales-led,48.76,20,132.5,3,1,0,5.6,9,Customer happy with product but needs integration advice.,,,,0,4,2,4,established,44.166666666666664,0.368,0.05,0,0,57,0,0,0.0,244,4.4
CUST-1218,2021-10-02,2024-12-23,London,Professional Services,Premium,Annual,Self-serve,169.18,38,193.0,13,5,0,7.7,11,Customer mentioned price sensitivity and asked about lower plan options.,,,,0,10,4,8,long_term,14.846153846153847,0.8765803108808291,0.13157894736842105,0,0,72,1,0,0.0,305,11.5
CUST-1219,2023-07-11,2024-12-28,South West,Technology,Standard,Monthly,Sales-led,78.41,17,294.3,18,5,1,6.7,3,Support issue around onboarding and admin setup.,,,,0,7,3,3,growing,16.35,0.2664288141352361,0.29411764705882354,0,0,48,0,1,0.058823529411764705,60,16.5
CUST-1220,2022-12-07,2024-12-30,North West,Professional Services,Basic,Annual,Sales-led,43.7,24,280.6,16,4,1,8.1,7,Multiple support contacts; wants faster response time.,,,,0,12,4,1,established,17.5375,0.1557377049180328,0.16666666666666666,0,0,54,0,1,0.041666666666666664,182,7.600000000000001
CUST-1221,2022-11-11,2024-12-14,South East,Retail,Basic,Annual,Renewal upgrade,58.06,25,91.2,0,3,0,7.8,6,Invoice query raised; finance contact requested clarification.,price,2025-03-19,success_call,1,11,4,17,established,,0.6366228070175438,0.12,1,0,62,1,0,0.0,152,6.6000000000000005
CUST-1222,2023-06-20,2024-12-23,North West,Public Sector,Standard,Monthly,Sales-led,126.32,18,175.1,5,3,0,6.5,11,,support,2025-03-30,none,1,6,2,8,growing,35.019999999999996,0.7214163335237007,0.16666666666666666,0,0,0,0,0,0.0,305,10.5
CUST-1223,2020-09-25,2024-12-29,Wales,Professional Services,Premium,Monthly,Renewal upgrade,179.74,51,66.8,10,4,0,7.7,8,Support issue around onboarding and admin setup.,,,,0,9,3,2,long_term,6.68,2.6907185628742516,0.0784313725490196,1,0,48,0,1,0.0,213,9.2
CUST-1224,2023-01-12,2024-12-30,South West,Healthcare,Basic,Monthly,Partner,39.82,23,214.5,10,1,0,7.4,11,Customer happy with product but needs integration advice.,,,,0,1,1,1,established,21.45,0.18564102564102564,0.043478260869565216,0,0,57,0,0,0.0,305,2.5999999999999996
CUST-1225,2023-10-30,2024-12-24,South East,Healthcare,Enterprise,Monthly,Self-serve,334.78,14,251.6,9,2,0,7.4,1,Customer happy with product but needs integration advice.,,,,0,10,4,7,growing,27.955555555555556,1.33060413354531,0.14285714285714285,0,0,57,0,0,0.0,1,5.199999999999999
CUST-1226,2023-12-19,2024-12-31,South West,Retail,Premium,Annual,Partner,185.62,12,105.0,7,2,0,6.6,1,Healthy adoption in team; users asked for reporting improvements.,support,2025-01-30,discount,1,12,4,0,growing,15.0,1.767809523809524,0.16666666666666666,0,0,65,0,0,0.0,1,6.800000000000001
CUST-1227,2022-04-23,2024-12-29,London,Manufacturing,Premium,Annual,Sales-led,157.82,32,165.5,11,5,0,8.6,7,Multiple support contacts; wants faster response time.,,,,0,4,2,2,established,15.045454545454545,0.953595166163142,0.15625,0,0,54,0,1,0.0,182,7.000000000000002
CUST-1228,2023-01-06,2024-12-28,Scotland,Public Sector,Basic,Monthly,Self-serve,55.6,23,74.8,1,0,1,7.0,2,Multiple support contacts; wants faster response time.,competitor,2025-02-17,none,1,1,1,3,established,74.8,0.7433155080213905,0.0,0,0,54,0,1,0.043478260869565216,32,0.0
CUST-1229,2023-07-21,2024-12-17,Wales,Technology,Basic,Annual,Sales-led,58.81,17,104.5,5,3,0,9.2,4,Customer mentioned price sensitivity and asked about lower plan options.,,,,0,7,3,14,growing,20.9,0.5627751196172249,0.17647058823529413,1,0,72,1,0,0.0,91,2.400000000000002
CUST-1230,2023-05-29,2024-12-28,London,Retail,Premium,Monthly,Renewal upgrade,184.24,19,70.9,7,0,0,10.0,1,Invoice query raised; finance contact requested clarification.,,,,0,5,2,3,established,10.12857142857143,2.598589562764457,0.0,0,0,62,1,0,0.0,1,0.0
CUST-1231,2023-08-03,2024-12-16,London,Education,Standard,Annual,Sales-led,96.36,16,421.8,12,4,0,7.1,2,Manager requested renewal details and training resources.,,,,0,8,3,15,growing,35.15,0.22844950213371265,0.25,0,0,57,0,0,0.0,32,11.600000000000001
CUST-1232,2023-04-30,2024-12-15,North West,Retail,Standard,Annual,Sales-led,105.78,20,124.2,5,0,0,3.6,12,Customer happy with product but needs integration advice.,,,,0,4,2,16,established,24.84,0.8516908212560387,0.0,0,0,57,0,0,0.0,335,0.0
CUST-1233,2021-07-10,2024-12-08,South West,Retail,Premium,Monthly,Partner,181.05,41,220.0,4,2,1,9.1,5,Low usage noted in recent month; customer did not attend webinar.,,,,0,7,3,23,long_term,55.0,0.8229545454545455,0.04878048780487805,0,0,65,0,0,0.024390243902439025,121,1.8000000000000007
CUST-1234,2022-12-02,2024-12-27,Scotland,Professional Services,Basic,Monthly,Self-serve,39.66,24,177.5,3,1,1,7.1,10,Healthy adoption in team; users asked for reporting improvements.,price,2025-01-14,none,1,12,4,4,established,59.166666666666664,0.22343661971830983,0.041666666666666664,0,0,65,0,0,0.041666666666666664,274,2.9000000000000004
CUST-1235,2021-08-22,2024-12-30,South West,Technology,Premium,Annual,Self-serve,201.2,40,430.6,15,1,0,7.7,2,Customer mentioned price sensitivity and asked about lower plan options.,,,,0,8,3,1,long_term,28.706666666666667,0.4672549930329772,0.025,0,0,72,1,0,0.0,32,2.3
CUST-1236,2023-03-16,2024-12-27,Midlands,Technology,Enterprise,Annual,Self-serve,344.78,21,304.4,14,4,0,6.8,11,Low usage noted in recent month; customer did not attend webinar.,,,,0,3,1,4,established,21.74285714285714,1.1326544021024967,0.19047619047619047,0,0,65,0,0,0.0,305,12.8
CUST-1237,2023-03-28,2024-12-24,North West,Public Sector,Premium,Monthly,Sales-led,188.31,21,190.4,6,5,1,6.0,10,Invoice query raised; finance contact requested clarification.,competitor,2025-02-01,success_call,1,3,1,7,established,31.733333333333334,0.9890231092436974,0.23809523809523808,0,0,62,1,0,0.047619047619047616,274,20.0
CUST-1238,2023-09-26,2024-12-23,Midlands,Education,Standard,Monthly,Partner,69.98,15,199.0,5,3,1,9.1,9,Invoice query raised; finance contact requested clarification.,,,,0,9,3,8,growing,39.8,0.35165829145728644,0.2,0,0,62,1,0,0.06666666666666667,244,2.700000000000001
CUST-1239,2022-05-08,2024-12-30,London,Education,Premium,Monthly,Sales-led,194.32,31,120.4,5,2,1,7.4,3,Support issue around onboarding and admin setup.,support,2025-01-14,none,1,5,2,1,established,24.080000000000002,1.613953488372093,0.06451612903225806,0,0,48,0,1,0.03225806451612903,60,5.199999999999999
CUST-1240,2021-11-24,2024-12-27,London,Education,Standard,Annual,Sales-led,116.63,37,126.9,0,3,0,9.2,3,Invoice query raised; finance contact requested clarification.,,,,0,11,4,4,long_term,,0.9190701339637509,0.08108108108108109,0,0,62,1,0,0.0,60,2.400000000000002
CUST-1241,2020-08-29,2024-12-29,Midlands,Education,Premium,Annual,Sales-led,179.36,52,217.8,10,6,0,7.6,7,Support issue around onboarding and admin setup.,,,,0,8,3,2,long_term,21.78,0.8235078053259872,0.11538461538461539,0,0,48,0,1,0.0,182,14.400000000000002
CUST-1242,2022-07-20,2024-12-24,Midlands,Healthcare,Premium,Annual,Sales-led,185.71,29,64.1,7,1,0,7.0,12,Low usage noted in recent month; customer did not attend webinar.,low_usage,2025-01-15,discount,1,7,3,7,established,9.157142857142857,2.8971918876755076,0.034482758620689655,0,0,65,0,0,0.0,335,3.0
CUST-1243,2022-04-06,2024-12-28,South East,Professional Services,Premium,Annual,Sales-led,185.7,32,175.1,7,3,0,6.9,2,Support issue around onboarding and admin setup.,,,,0,4,2,3,established,25.014285714285712,1.0605368360936607,0.09375,0,0,48,0,1,0.0,32,9.299999999999999
CUST-1244,2022-01-21,2024-12-29,Scotland,Professional Services,Standard,Annual,Self-serve,91.29,35,170.9,6,1,0,8.8,1,Low usage noted in recent month; customer did not attend webinar.,,,,0,1,1,2,established,28.483333333333334,0.5341720304271504,0.02857142857142857,0,0,65,0,0,0.0,1,1.1999999999999993
CUST-1245,2022-09-14,2024-12-25,Scotland,Technology,Basic,Annual,Sales-led,55.57,27,394.2,17,1,0,10.0,7,Low usage noted in recent month; customer did not attend webinar.,,,,0,9,3,6,established,23.188235294117646,0.14096905124302386,0.037037037037037035,0,0,65,0,0,0.0,182,0.0
CUST-1246,2023-05-27,2024-12-28,Northern Ireland,Education,Basic,Monthly,Sales-led,39.3,19,258.1,2,1,3,8.7,7,Customer happy with product but needs integration advice.,,,,0,5,2,3,established,129.05,0.15226656334753969,0.05263157894736842,0,0,57,0,0,0.15789473684210525,182,1.3000000000000007
CUST-1247,2020-08-05,2024-12-31,Scotland,Technology,Standard,Annual,Self-serve,91.69,52,273.5,13,3,0,7.5,11,Manager requested renewal details and training resources.,,,,0,8,3,0,long_term,21.03846153846154,0.3352468007312614,0.057692307692307696,0,0,57,0,0,0.0,305,7.5
CUST-1248,2021-09-21,2024-12-18,North West,Professional Services,Standard,Monthly,Sales-led,112.52,39,289.5,24,1,1,8.3,7,Low usage noted in recent month; customer did not attend webinar.,,,,0,9,3,13,long_term,12.0625,0.38867012089810016,0.02564102564102564,0,0,65,0,0,0.02564102564102564,182,1.6999999999999993
CUST-1249,2022-11-20,2024-12-30,South East,Education,Standard,Monthly,Partner,110.7,25,109.0,4,3,1,7.7,1,Customer happy with product but needs integration advice.,,,,0,11,4,1,established,27.25,1.0155963302752293,0.12,1,0,57,0,0,0.04,1,6.8999999999999995
CUST-1250,2023-04-11,2024-12-31,North West,Retail,Standard,Annual,Renewal upgrade,90.52,20,233.6,9,1,1,7.3,5,Manager requested renewal details and training resources.,,,,0,4,2,0,established,25.955555555555556,0.3875,0.05,0,0,57,0,0,0.05,121,2.7
CUST-1251,2023-02-10,2024-12-26,Wales,Retail,Premium,Annual,Self-serve,170.2,22,361.9,17,3,0,6.5,6,Low usage noted in recent month; customer did not attend webinar.,competitor,2025-03-21,none,1,2,1,5,established,21.288235294117644,0.47029566178502347,0.13636363636363635,0,0,65,0,0,0.0,152,10.5
CUST-1252,2023-03-13,2024-12-29,Northern Ireland,Professional Services,Enterprise,Annual,Renewal upgrade,341.25,21,171.3,13,3,0,6.2,9,Customer mentioned price sensitivity and asked about lower plan options.,,,,0,3,1,2,established,13.176923076923078,1.9921190893169876,0.14285714285714285,0,0,72,1,0,0.0,244,11.399999999999999
CUST-1253,2023-06-02,2024-12-31,North West,Professional Services,Basic,Monthly,Sales-led,57.79,18,60.6,6,0,0,7.4,8,Invoice query raised; finance contact requested clarification.,business_closed,2025-02-20,success_call,1,6,2,0,growing,10.1,0.9536303630363036,0.0,0,0,62,1,0,0.0,213,0.0
CUST-1254,2023-11-05,2024-12-28,South East,Technology,Premium,Annual,Sales-led,167.0,13,297.9,3,4,0,8.7,1,Healthy adoption in team; users asked for reporting improvements.,,,,0,11,4,3,growing,99.3,0.5605908022826452,0.3076923076923077,0,0,65,0,0,0.0,1,5.200000000000003
CUST-1255,2022-06-06,2024-12-28,South East,Retail,Premium,Monthly,Partner,183.28,30,99.3,6,1,1,9.2,11,Invoice query raised; finance contact requested clarification.,,,,0,6,2,3,established,16.55,1.8457200402819738,0.03333333333333333,0,0,62,1,0,0.03333333333333333,305,0.8000000000000007
CUST-1256,2020-12-29,2024-11-30,Midlands,Manufacturing,Standard,Monthly,Partner,107.96,48,247.2,20,3,1,5.4,8,Invoice query raised; finance contact requested clarification.,low_usage,2025-01-10,none,1,12,4,31,long_term,12.36,0.4367313915857605,0.0625,0,1,62,1,0,0.020833333333333332,213,13.799999999999999
CUST-1257,2022-04-02,2024-12-14,Midlands,Healthcare,Basic,Monthly,Partner,47.94,32,240.5,12,1,1,7.0,11,Multiple support contacts; wants faster response time.,,,,0,4,2,17,established,20.041666666666668,0.19933471933471933,0.03125,0,0,54,0,1,0.03125,305,3.0
CUST-1258,2022-11-02,2024-12-23,London,Healthcare,Premium,Annual,Sales-led,191.12,25,148.6,1,1,0,7.3,9,Customer mentioned price sensitivity and asked about lower plan options.,,,,0,11,4,8,established,148.6,1.2861372812920593,0.04,0,0,72,1,0,0.0,244,2.7
CUST-1259,2020-05-27,2024-12-25,London,Education,Enterprise,Monthly,Partner,345.35,55,157.3,7,2,1,8.5,5,Healthy adoption in team; users asked for reporting improvements.,,,,0,5,2,6,long_term,22.47142857142857,2.195486331849968,0.03636363636363636,0,0,65,0,0,0.01818181818181818,121,3.0
CUST-1260,2023-01-10,2024-12-16,Scotland,Retail,Premium,Annual,Self-serve,176.43,23,420.7,12,3,0,7.6,2,Customer mentioned price sensitivity and asked about lower plan options.,,,,0,1,1,15,established,35.05833333333333,0.4193724744473497,0.13043478260869565,0,0,72,1,0,0.0,32,7.200000000000001
CUST-1261,2022-03-05,2024-12-19,London,Technology,Enterprise,Monthly,Sales-led,337.27,33,,15,1,1,7.3,12,Manager requested renewal details and training resources.,,,,0,3,1,12,established,,,0.030303030303030304,0,0,57,0,0,0.030303030303030304,335,2.7
CUST-1262,2023-09-28,2024-12-27,Midlands,Public Sector,Enterprise,Monthly,Sales-led,361.21,15,398.4,12,7,2,4.5,11,Multiple support contacts; wants faster response time.,,,,0,9,3,4,growing,33.199999999999996,0.9066516064257029,0.4666666666666667,0,1,54,0,1,0.13333333333333333,305,38.5
CUST-1263,2020-11-05,2024-12-15,South East,Public Sector,Standard,Annual,Renewal upgrade,89.8,49,193.0,8,3,0,,4,Invoice query raised; finance contact requested clarification.,,,,0,11,4,16,long_term,24.125,0.46528497409326425,0.061224489795918366,0,0,62,1,0,0.0,91,15.0
CUST-1264,2023-08-17,2024-12-22,London,Healthcare,Standard,Monthly,Sales-led,103.2,16,173.4,4,4,0,7.0,1,Customer happy with product but needs integration advice.,price,2025-01-15,success_call,1,8,3,9,growing,43.35,0.5951557093425606,0.25,0,0,57,0,0,0.0,1,12.0
CUST-1265,2021-10-16,2024-12-02,South West,Professional Services,Standard,Annual,Partner,98.14,38,223.1,7,0,0,,7,Invoice query raised; finance contact requested clarification.,,,,0,10,4,29,long_term,31.87142857142857,0.43989242492155983,0.0,0,0,62,1,0,0.0,182,0.0
CUST-1266,2022-04-17,2024-12-24,London,Technology,Enterprise,Annual,Self-serve,336.37,32,637.8,30,4,0,8.7,8,Customer mentioned price sensitivity and asked about lower plan options.,,,,0,4,2,7,established,21.259999999999998,0.5273910316713704,0.125,0,0,72,1,0,0.0,213,5.200000000000003
CUST-1267,2022-08-21,2024-12-16,South East,Healthcare,Basic,Monthly,Partner,41.69,28,212.8,9,1,0,9.8,7,Invoice query raised; finance contact requested clarification.,,,,0,8,3,15,established,23.644444444444446,0.19591165413533831,0.03571428571428571,0,0,62,1,0,0.0,182,0.1999999999999993
CUST-1268,2022-04-25,2024-12-03,London,Professional Services,Standard,Annual,Partner,115.59,32,149.5,4,0,0,6.6,9,Support issue around onboarding and admin setup.,,,,0,4,2,28,established,37.375,0.7731772575250836,0.0,0,0,48,0,1,0.0,244,0.0
CUST-1269,2023-08-12,2024-12-10,London,Healthcare,Premium,Annual,Renewal upgrade,181.42,16,278.6,7,4,0,6.4,6,Customer happy with product but needs integration advice.,,,,0,8,3,21,growing,39.800000000000004,0.6511844938980617,0.25,0,0,57,0,0,0.0,152,14.399999999999999
